strategy_name,paper_order_id,entry_time,exit_time,symbol,timeframe,side,session,entry_price,stop_loss,take_profit,signal_reason,setup_type,score_long,score_short,score,risk_reward,lot_size,price_points,gross_pnl_eur,commission_eur,spread_cost_eur,slippage_cost_eur,total_cost_eur,pnl_eur,equity_before,equity_after,running_equity_high,drawdown_eur,drawdown_percent,daily_pnl_after,daily_trade_number,daily_loss_streak
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000001,2022-02-16 13:30:00,2022-02-16 14:30:00,XAUUSD,15m,BUY,LONDON,1856.218,1853.0424573182204,1862.5690853635595,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=18.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,76.0,18.0,76.0,2.0,0.01,6.351085363559378,6.351085363559378,0.08,0.0,0.0,0.08,6.2710853635593775,1000.0,1006.2710853635593,1006.2710853635593,0.0,0.0,6.2710853635593775,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000002,2022-02-16 19:30:00,2022-02-17 04:00:00,XAUUSD,15m,BUY,NEW YORK,1866.378,1861.9854949982157,1875.1630100035684,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,100.0,8.0,100.0,2.0,0.01,8.785010003568459,8.785010003568459,0.08,0.0,0.0,0.08,8.705010003568459,1006.2710853635593,1014.9760953671278,1014.9760953671278,0.0,0.0,14.976095367127837,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000003,2022-02-18 14:30:00,2022-02-18 14:45:00,XAUUSD,15m,BUY,LONDON,1897.426,1893.436082999742,1905.4058340005158,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,100.0,8.0,100.0,2.0,0.01,-3.9899170002579467,-3.9899170002579467,0.08,0.0,0.0,0.08,-4.069917000257947,1014.9760953671278,1010.9061783668698,1014.9760953671278,4.069917000257988,0.40098648813850685,-4.069917000257947,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000004,2022-02-18 18:00:00,2022-02-20 23:00:00,XAUUSD,15m,BUY,NEW YORK,1897.198,1893.2528671239334,1905.0882657521336,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,100.0,8.0,100.0,2.0,0.01,7.890265752133473,7.890265752133473,0.08,0.0,0.0,0.08,7.810265752133473,1010.9061783668698,1018.7164441190032,1018.7164441190032,0.0,0.0,3.7403487518755263,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000005,2022-02-21 13:00:00,2022-02-21 14:15:00,XAUUSD,15m,BUY,LONDON,1896.598,1893.1501130548747,1903.4937738902504,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,76.0,4.0,76.0,2.0,0.01,-3.4478869451252194,-3.4478869451252194,0.08,0.0,0.0,0.08,-3.5278869451252195,1018.7164441190032,1015.1885571738779,1018.7164441190032,3.5278869451252604,0.34630705781688004,-3.5278869451252195,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000006,2022-02-23 19:30:00,2022-02-24 00:30:00,XAUUSD,15m,BUY,NEW YORK,1906.848,1903.5981270810526,1913.3477458378948,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,100.0,8.0,100.0,2.0,0.01,6.499745837894807,6.499745837894807,0.08,0.0,0.0,0.08,6.419745837894807,1015.1885571738779,1021.6083030117727,1021.6083030117727,0.0,0.0,6.419745837894807,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000007,2022-02-28 14:45:00,2022-02-28 16:00:00,XAUUSD,15m,BUY,LONDON,1910.358,1903.727914603618,1923.6181707927637,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,100.0,8.0,100.0,2.0,0.01,-6.630085396381901,-6.630085396381901,0.08,0.0,0.0,0.08,-6.710085396381901,1021.6083030117727,1014.8982176153908,1021.6083030117727,6.710085396381942,0.656815863438085,-6.710085396381901,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000008,2022-02-28 21:15:00,2022-03-01 01:30:00,XAUUSD,15m,BUY,NEW YORK,1908.113,1903.1989629851096,1917.941074029781,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=94.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,94.0,8.0,94.0,2.0,0.01,-4.914037014890482,-4.914037014890482,0.08,0.0,0.0,0.08,-4.994037014890482,1014.8982176153908,1009.9041806005002,1021.6083030117727,11.704122411272465,1.1456565473056448,-11.704122411272383,2,2
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000009,2022-03-01 15:00:00,2022-03-01 16:45:00,XAUUSD,15m,BUY,LONDON,1920.268,1913.9659379131558,1932.8721241736887,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=90.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,90.0,4.0,90.0,2.000000000000036,0.01,12.60412417368866,12.60412417368866,0.08,0.0,0.0,0.08,12.52412417368866,1009.9041806005002,1022.4283047741889,1022.4283047741889,0.0,0.0,12.52412417368866,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000010,2022-03-03 10:30:00,2022-03-03 13:30:00,XAUUSD,15m,BUY,LONDON,1932.517,1927.7108769950667,1942.129246009867,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=11.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,76.0,11.0,76.0,2.0000000000000475,0.01,-4.806123004933397,-4.806123004933397,0.08,0.0,0.0,0.08,-4.886123004933397,1022.4283047741889,1017.5421817692554,1022.4283047741889,4.886123004933438,0.47789394934763424,-4.886123004933397,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000011,2022-03-03 21:45:00,2022-03-04 00:15:00,XAUUSD,15m,BUY,NEW YORK,1935.438,1931.5238616066272,1943.2662767867462,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=80.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,80.0,8.0,80.0,2.000000000000058,0.01,7.828276786746073,7.828276786746073,0.08,0.0,0.0,0.08,7.748276786746073,1017.5421817692554,1025.2904585560016,1025.2904585560016,0.0,0.0,2.862153781812676,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000012,2022-03-04 10:00:00,2022-03-04 14:30:00,XAUUSD,15m,BUY,LONDON,1942.728,1938.0803609273846,1952.0232781452312,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=11.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,76.0,11.0,76.0,2.000000000000049,0.01,9.295278145231123,9.295278145231123,0.08,0.0,0.0,0.08,9.215278145231123,1025.2904585560016,1034.5057367012328,1034.5057367012328,0.0,0.0,9.215278145231123,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000013,2022-03-04 15:00:00,2022-03-04 19:30:00,XAUUSD,15m,BUY,LONDON,1955.258,1948.0894837079952,1969.59503258401,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=90.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,90.0,4.0,90.0,2.0000000000000315,0.01,14.337032584009876,14.337032584009876,0.08,0.0,0.0,0.08,14.257032584009876,1034.5057367012328,1048.7627692852427,1048.7627692852427,0.0,0.0,23.472310729241,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000014,2022-03-08 10:30:00,2022-03-08 14:30:00,XAUUSD,15m,BUY,LONDON,2005.369,1997.7573518849429,2020.5922962301142,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,96.0,4.0,96.0,2.0000000000000298,0.01,15.223296230114329,15.223296230114329,0.08,0.0,0.0,0.08,15.143296230114329,1048.7627692852427,1063.906065515357,1063.906065515357,0.0,0.0,15.143296230114329,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000015,2022-03-08 18:15:00,2022-03-09 09:45:00,XAUUSD,15m,BUY,NEW YORK,2037.528,2019.133833875832,2074.3163322483365,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=100.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,100.0,8.0,100.0,2.0000000000000124,0.01,-18.394166124168123,-18.394166124168123,0.08,0.0,0.0,0.08,-18.47416612416812,1063.906065515357,1045.431899391189,1063.906065515357,18.47416612416805,1.7364471096627452,-3.3308698940537926,2,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000016,2022-03-10 14:15:00,2022-03-10 15:00:00,XAUUSD,15m,BUY,LONDON,2001.962,1992.3153895462262,2021.2552209075477,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=80.0 | opposite_score=8.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,80.0,8.0,80.0,2.0000000000000235,0.01,-9.646610453773746,-9.646610453773746,0.08,0.0,0.0,0.08,-9.726610453773747,1045.431899391189,1035.7052889374154,1063.906065515357,28.200776577941724,2.650682940159876,-9.726610453773747,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000017,2022-03-11 14:30:00,2022-03-11 16:00:00,XAUUSD,15m,SELL,LONDON,1972.588,1983.453992030381,1950.856015939238,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=89.0 | opposite_score=30.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,30.0,89.0,89.0,2.0,0.01,-10.865992030380994,-10.865992030380994,0.08,0.0,0.0,0.08,-10.945992030380994,1035.7052889374154,1024.7592969070345,1063.906065515357,39.146768608322645,3.6795324208777695,-10.945992030380994,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000018,2022-03-14 13:00:00,2022-03-15 01:15:00,XAUUSD,15m,SELL,LONDON,1959.344,1966.344102791374,1945.3437944172517,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,85.0,85.0,2.0000000000000324,0.01,14.000205582748322,14.000205582748322,0.08,0.0,0.0,0.08,13.920205582748322,1024.7592969070345,1038.6795024897829,1063.906065515357,25.22656302557425,2.3711269108475737,13.920205582748322,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000019,2022-03-15 10:00:00,2022-03-15 13:00:00,XAUUSD,15m,SELL,LONDON,1929.593,1935.7660549131847,1917.2468901736306,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,85.0,85.0,2.000000000000037,0.01,12.346109826369457,12.346109826369457,0.08,0.0,0.0,0.08,12.266109826369457,1038.6795024897829,1050.9456123161524,1063.906065515357,12.960453199204721,1.218195254195366,12.266109826369457,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000020,2022-03-15 13:30:00,2022-03-15 14:30:00,XAUUSD,15m,SELL,LONDON,1925.038,1932.936884773812,1909.2402304523762,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,85.0,85.0,2.0,0.01,15.79776954762383,15.79776954762383,0.08,0.0,0.0,0.08,15.71776954762383,1050.9456123161524,1066.6633818637763,1066.6633818637763,0.0,0.0,27.983879373993286,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000021,2022-03-18 10:00:00,2022-03-18 11:00:00,XAUUSD,15m,SELL,LONDON,1933.643,1937.617601025865,1925.69379794827,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,85.0,85.0,2.0,0.01,-3.974601025865013,-3.974601025865013,0.08,0.0,0.0,0.08,-4.054601025865013,1066.6633818637763,1062.6087808379114,1066.6633818637763,4.05460102586494,0.38012001675545976,-4.054601025865013,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000022,2022-03-18 13:00:00,2022-03-18 13:15:00,XAUUSD,15m,SELL,LONDON,1932.318,1937.5494822457467,1921.8550355085065,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,85.0,85.0,2.0,0.01,10.462964491493494,10.462964491493494,0.08,0.0,0.0,0.08,10.382964491493494,1062.6087808379114,1072.991745329405,1072.991745329405,0.0,0.0,6.328363465628481,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000023,2022-03-21 19:00:00,2022-03-22 00:45:00,XAUUSD,15m,BUY,NEW YORK,1934.068,1929.225624434843,1943.752751130314,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=72.0 | opposite_score=19.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,72.0,19.0,72.0,2.0,0.01,-4.842375565156999,-4.842375565156999,0.08,0.0,0.0,0.08,-4.922375565156999,1072.991745329405,1068.069369764248,1072.991745329405,4.922375565156926,0.45875241692989666,-4.922375565156999,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000024,2022-03-22 10:00:00,2022-03-22 13:45:00,XAUUSD,15m,SELL,LONDON,1927.955,1931.763954209552,1920.337091580896,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=79.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,79.0,79.0,2.0,0.01,7.617908419103969,7.617908419103969,0.08,0.0,0.0,0.08,7.537908419103969,1068.069369764248,1075.607278183352,1075.607278183352,0.0,0.0,7.537908419103969,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000025,2022-03-23 14:15:00,2022-03-23 15:30:00,XAUUSD,15m,BUY,LONDON,1930.478,1925.8591734190732,1939.7156531618539,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=72.0 | opposite_score=19.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,72.0,19.0,72.0,2.0,0.01,-4.618826580926907,-4.618826580926907,0.08,0.0,0.0,0.08,-4.698826580926907,1075.607278183352,1070.9084516024252,1075.607278183352,4.698826580926834,0.43685336425604354,-4.698826580926907,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000026,2022-03-24 10:00:00,2022-03-24 11:30:00,XAUUSD,15m,BUY,LONDON,1942.628,1939.3752517406458,1949.1334965187082,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,96.0,4.0,96.0,2.0,0.01,6.505496518708242,6.505496518708242,0.08,0.0,0.0,0.08,6.425496518708242,1070.9084516024252,1077.3339481211335,1077.3339481211335,0.0,0.0,6.425496518708242,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000027,2022-03-24 13:45:00,2022-03-24 16:15:00,XAUUSD,15m,BUY,LONDON,1953.353,1947.1154985257263,1965.828002948548,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,96.0,4.0,96.0,2.0000000000000364,0.01,12.475002948547854,12.475002948547854,0.08,0.0,0.0,0.08,12.395002948547853,1077.3339481211335,1089.7289510696814,1089.7289510696814,0.0,0.0,18.820499467256095,2,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000028,2022-03-30 18:30:00,2022-03-31 00:30:00,XAUUSD,15m,BUY,NEW YORK,1933.853,1929.7748074103276,1942.009385179345,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=83.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,83.0,8.0,83.0,2.0,0.01,-4.078192589672426,-4.078192589672426,0.08,0.0,0.0,0.08,-4.158192589672426,1089.7289510696814,1085.570758480009,1089.7289510696814,4.158192589672353,0.3815804458155084,-4.158192589672426,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000029,2022-03-31 10:00:00,2022-03-31 10:45:00,XAUUSD,15m,SELL,LONDON,1925.078,1928.9415018077068,1917.3509963845863,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=79.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,79.0,79.0,2.0,0.01,-3.8635018077068253,-3.8635018077068253,0.08,0.0,0.0,0.08,-3.9435018077068253,1085.570758480009,1081.6272566723023,1089.7289510696814,8.101694397379106,0.7434595905180326,-3.9435018077068253,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000030,2022-04-06 14:00:00,2022-04-06 17:15:00,XAUUSD,15m,BUY,LONDON,1926.668,1920.968699960168,1938.066600079664,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=72.0 | opposite_score=19.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,72.0,19.0,72.0,2.00000000000004,0.01,-5.699300039831996,-5.699300039831996,0.08,0.0,0.0,0.08,-5.7793000398319965,1081.6272566723023,1075.8479566324704,1089.7289510696814,13.88099443721103,1.273802483047312,-5.7793000398319965,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000031,2022-04-07 18:15:00,2022-04-07 19:15:00,XAUUSD,15m,BUY,NEW YORK,1933.872,1930.2236504373705,1941.1686991252595,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=80.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,80.0,8.0,80.0,2.000000000000062,0.01,-3.648349562629619,-3.648349562629619,0.08,0.0,0.0,0.08,-3.728349562629619,1075.8479566324704,1072.1196070698409,1089.7289510696814,17.609343999840576,1.6159379800412925,-3.728349562629619,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000032,2022-04-08 15:45:00,2022-04-11 08:15:00,XAUUSD,15m,BUY,LONDON,1941.552,1936.3906367445184,1951.874726510963,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,76.0,4.0,76.0,2.0,0.01,10.322726510963093,10.322726510963093,0.08,0.0,0.0,0.08,10.242726510963093,1072.1196070698409,1082.362333580804,1089.7289510696814,7.366617488877409,0.676004568075971,10.242726510963093,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000033,2022-04-11 19:15:00,2022-04-12 12:00:00,XAUUSD,15m,BUY,NEW YORK,1951.822,1947.3993456561018,1960.667308687796,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=79.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,79.0,8.0,79.0,2.0,0.01,8.845308687796205,8.845308687796205,0.08,0.0,0.0,0.08,8.765308687796205,1082.362333580804,1091.1276422686003,1091.1276422686003,0.0,0.0,8.765308687796205,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000034,2022-04-12 13:45:00,2022-04-12 14:45:00,XAUUSD,15m,BUY,LONDON,1961.272,1954.8003037026972,1974.2153925946056,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=76.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,76.0,4.0,76.0,2.000000000000035,0.01,12.943392594605712,12.943392594605712,0.08,0.0,0.0,0.08,12.863392594605711,1091.1276422686003,1103.991034863206,1103.991034863206,0.0,0.0,12.863392594605711,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000035,2022-04-12 19:00:00,2022-04-13 00:15:00,XAUUSD,15m,BUY,NEW YORK,1969.068,1963.8395453871065,1979.5249092257873,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=78.0 | opposite_score=8.0 | session=NEW YORK | RR=2.00,V50 realtime loss proxy,78.0,8.0,78.0,2.0000000000000435,0.01,-5.228454612893529,-5.228454612893529,0.08,0.0,0.0,0.08,-5.308454612893529,1103.991034863206,1098.6825802503126,1103.991034863206,5.308454612893456,0.4808421848779976,7.5549379817121824,2,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000036,2022-04-13 13:15:00,2022-04-14 05:15:00,XAUUSD,15m,BUY,LONDON,1977.248,1972.2729138328623,1987.1981723342756,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=74.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,74.0,4.0,74.0,2.0,0.01,-4.975086167137761,-4.975086167137761,0.08,0.0,0.0,0.08,-5.055086167137761,1098.6825802503126,1093.627494083175,1103.991034863206,10.363540780031144,0.9387341430100721,-5.055086167137761,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000037,2022-04-18 13:45:00,2022-04-18 14:30:00,XAUUSD,15m,BUY,LONDON,1992.678,1988.8115334917513,2000.4109330164977,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,96.0,4.0,96.0,2.0,0.01,-3.8664665082487772,-3.8664665082487772,0.08,0.0,0.0,0.08,-3.9464665082487773,1093.627494083175,1089.6810275749262,1103.991034863206,14.310007288279849,1.2962068383148582,-3.9464665082487773,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000038,2022-04-21 14:00:00,2022-04-21 17:30:00,XAUUSD,15m,SELL,LONDON,1941.748,1947.0236210544576,1931.1967578910846,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=89.0 | opposite_score=8.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,8.0,89.0,89.0,2.000000000000043,0.01,-5.275621054457588,-5.275621054457588,0.08,0.0,0.0,0.08,-5.355621054457588,1089.6810275749262,1084.3254065204687,1103.991034863206,19.665628342737364,1.7813213804923789,-5.355621054457588,1,1
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000039,2022-04-22 14:30:00,2022-04-25 01:15:00,XAUUSD,15m,SELL,LONDON,1938.358,1944.7668641499097,1925.5402717001805,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=83.0 | opposite_score=8.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,8.0,83.0,83.0,2.0,0.01,12.817728299819464,12.817728299819464,0.08,0.0,0.0,0.08,12.737728299819464,1084.3254065204687,1097.0631348202883,1103.991034863206,6.927900042917827,0.6275322737359232,12.737728299819464,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000040,2022-04-25 10:00:00,2022-04-25 11:00:00,XAUUSD,15m,SELL,LONDON,1915.153,1919.6422137851425,1906.1745724297148,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=85.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,85.0,85.0,2.0000000000000506,0.01,8.978427570285248,8.978427570285248,0.08,0.0,0.0,0.08,8.898427570285248,1097.0631348202883,1105.9615623905736,1105.9615623905736,0.0,0.0,8.898427570285248,1,0
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000041,2022-04-27 10:00:00,2022-04-27 11:15:00,XAUUSD,15m,SELL,LONDON,1895.878,1900.807268247606,1886.0194635047876,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00,V50 realtime loss proxy,4.0,96.0,96.0,2.0,0.01,-4.92926824760616,-4.92926824760616,0.08,0.0,0.0,0.08,-5.00926824760616,1105.9615623905736,1100.9522941429675,1105.9615623905736,5.009268247606087,0.45293330418991984,-5.00926824760616,1,1
